Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,3,1,   100.2,    25.4,    51.2,    77.8,    23.5,    27.2,    21.7,     4.8,    27.4
Pulau Ubin,2023,3,2,    32.4,     9.8,    15.6,    17.2,    24.4,    29.8,    22.5,     5.1,    27.0
Pulau Ubin,2023,3,3,    42.4,    16.6,    19.0,    21.8,    24.3,    25.7,    23.4,     4.4,    27.0
Pulau Ubin,2023,3,4,    19.2,     6.8,     8.4,    11.8,    24.0,    25.1,    22.4,     7.5,    35.0
Pulau Ubin,2023,3,5,    15.8,     4.8,     5.6,     5.6,    25.2,    28.6,    23.6,     5.6,    30.9
Pulau Ubin,2023,3,6,     0.0,     0.0,     0.0,     0.2,    25.4,    28.8,    22.9,     7.3,    30.2
Pulau Ubin,2023,3,7,     0.0,     0.0,     0.0,     0.0,    26.0,    29.4,    23.5,     8.7,    31.3
Pulau Ubin,2023,3,8,     0.0,     0.0,     0.0,     0.0,    26.7,    30.6,    24.0,     7.5,    26.7
Pulau Ubin,2023,3,9,     0.0,     0.0,     0.0,     0.0,    27.1,    30.6,    23.8,     8.1,    28.5
Pulau Ubin,2023,3,10,     0.0,     0.0,     0.0,     0.0,    27.0,    30.8,    25.0,     8.7,    29.4
Pulau Ubin,2023,3,11,     0.0,     0.0,     0.0,     0.0,    27.0,    31.2,    24.9,     7.2,    25.9
Pulau Ubin,2023,3,12,     0.0,     0.0,     0.0,     0.0,    27.1,    31.9,    24.0,     7.2,    23.7
Pulau Ubin,2023,3,13,     0.0,     0.0,     0.0,     0.0,    26.9,    30.5,    24.3,     9.1,    31.3
Pulau Ubin,2023,3,14,     0.0,     0.0,     0.0,     0.0,    26.3,    30.2,    23.1,     7.6,    27.8
Pulau Ubin,2023,3,15,     0.0,     0.0,     0.0,     0.0,    26.3,    30.2,    22.8,     6.4,    23.7
Pulau Ubin,2023,3,16,     0.0,     0.0,     0.0,     0.0,    27.1,    31.3,    23.4,     7.8,    27.4
Pulau Ubin,2023,3,17,     0.0,     0.0,     0.0,     0.0,    27.3,    31.9,    24.3,     7.7,    29.8
Pulau Ubin,2023,3,18,     0.0,     0.0,     0.0,     0.0,    27.3,    31.2,    24.1,     7.3,    26.7
Pulau Ubin,2023,3,19,     0.0,     0.0,     0.0,     0.0,    27.6,    32.4,    25.2,     6.7,    25.9
Pulau Ubin,2023,3,20,     0.0,     0.0,     0.0,     0.0,    27.8,    32.0,    25.2,     6.1,    22.4
Pulau Ubin,2023,3,21,     6.8,     6.2,     6.6,     6.8,    26.3,    31.7,    22.9,     3.3,    19.8
Pulau Ubin,2023,3,22,     0.4,     0.4,     0.4,     0.4,    27.3,    32.8,    24.5,     3.4,    19.1
Pulau Ubin,2023,3,23,     0.0,     0.0,     0.0,     0.0,    27.8,    33.1,    24.3,     4.4,    22.0
Pulau Ubin,2023,3,24,     6.8,     3.6,     4.0,     5.4,    26.7,    32.9,    24.6,     2.8,    19.8
Pulau Ubin,2023,3,25,    33.2,    14.6,    19.6,    26.2,    25.3,    31.7,    23.0,     3.0,    23.7
Pulau Ubin,2023,3,26,     0.0,     0.0,     0.0,     0.2,    26.6,    33.5,    23.1,     3.4,    23.7
Pulau Ubin,2023,3,27,    14.6,    10.8,    12.8,    13.2,    25.1,    27.5,    23.0,     2.2,    21.7
Pulau Ubin,2023,3,28,     0.0,     0.0,     0.0,     0.0,    28.0,    33.4,    24.3,     4.5,    20.9
Pulau Ubin,2023,3,29,     0.0,     0.0,     0.0,     0.0,    27.6,    33.5,    24.3,     4.1,    20.9
Pulau Ubin,2023,3,30,    12.4,    12.4,    12.4,    12.4,    27.3,    32.4,    23.1,     6.1,    27.4
Pulau Ubin,2023,3,31,     0.0,     0.0,     0.0,     0.0,    27.7,    33.0,    23.7,     4.2,    23.0
